Source,Target,Weight,Type
A01B,A01C,0.9285714285714286,Undirected
A01B,A01D,0.9142857142857143,Undirected
A01B,A01F,0.2142857142857143,Undirected
A01B,A01G,0.8428571428571429,Undirected
A01B,A01H,0.34285714285714286,Undirected
A01B,A01J,0.014285714285714285,Undirected
A01B,A01K,0.5714285714285714,Undirected
A01B,A01L,0.2142857142857143,Undirected
A01B,A01M,0.3142857142857143,Undirected
A01B,A01N,0.35714285714285715,Undirected
A01B,A01P,0.08571428571428572,Undirected
A01B,A21C,0.04285714285714286,Undirected
A01B,A21D,0.014285714285714285,Undirected
A01B,A22B,0.02857142857142857,Undirected
A01B,A22C,0.02857142857142857,Undirected
A01B,A23B,0.1,Undirected
A01B,A23C,0.04285714285714286,Undirected
A01B,A23D,0.014285714285714285,Undirected
A01B,A23K,0.02857142857142857,Undirected
A01B,A23L,0.04285714285714286,Undirected
A01B,A23N,0.04285714285714286,Undirected
A01B,A23P,0.014285714285714285,Undirected
A01B,A24F,0.014285714285714285,Undirected
A01B,A41B,0.014285714285714285,Undirected
A01B,A41D,0.22857142857142856,Undirected
A01B,A41F,0.014285714285714285,Undirected
A01B,A41G,0.02857142857142857,Undirected
A01B,A42B,0.014285714285714285,Undirected
A01B,A43B,0.05714285714285714,Undirected
A01B,A43C,0.014285714285714285,Undirected
A01B,A43D,0.014285714285714285,Undirected
A01B,A44B,0.1,Undirected
A01B,A44C,0.02857142857142857,Undirected
A01B,A45B,0.1,Undirected
A01B,A45C,0.08571428571428572,Undirected
A01B,A45D,0.05714285714285714,Undirected
A01B,A45F,0.07142857142857142,Undirected
A01B,A46B,0.2714285714285714,Undirected
A01B,A46D,0.014285714285714285,Undirected
A01B,A47B,0.2714285714285714,Undirected
A01B,A47C,0.04285714285714286,Undirected
A01B,A47D,0.02857142857142857,Undirected
A01B,A47F,0.24285714285714285,Undirected
A01B,A47G,0.09999999999999999,Undirected
A01B,A47H,0.02857142857142857,Undirected
A01B,A47J,0.2142857142857143,Undirected
A01B,A47K,0.05714285714285714,Undirected
A01B,A47L,0.5571428571428572,Undirected
A01B,A61B,0.6285714285714286,Undirected
A01B,A61C,0.09999999999999999,Undirected
A01B,A61D,0.05714285714285714,Undirected
A01B,A61F,0.07142857142857142,Undirected
A01B,A61G,0.08571428571428572,Undirected
A01B,A61H,0.21428571428571427,Undirected
A01B,A61J,0.02857142857142857,Undirected
A01B,A61L,0.05714285714285714,Undirected
A01B,A61M,0.04285714285714286,Undirected
A01B,A61N,0.15714285714285714,Undirected
A01B,A62B,0.014285714285714285,Undirected
A01B,A62C,0.07142857142857142,Undirected
A01B,A62D,0.15714285714285714,Undirected
A01B,A63B,0.7142857142857142,Undirected
A01B,A63C,0.1285714285714286,Undirected
A01B,A63D,0.02857142857142857,Undirected
A01B,A63F,0.04285714285714286,Undirected
A01B,A63G,0.02857142857142857,Undirected
A01B,A63H,0.1,Undirected
A01B,A63K,0.014285714285714285,Undirected
A01B,B01B,0.014285714285714285,Undirected
A01B,B01D,0.02857142857142857,Undirected
A01B,B01F,0.18571428571428572,Undirected
A01B,B01L,0.02857142857142857,Undirected
A01B,B02B,0.014285714285714285,Undirected
A01B,B02C,0.3,Undirected
A01B,B03B,0.014285714285714285,Undirected
A01B,B03C,0.08571428571428572,Undirected
A01B,B04B,0.014285714285714285,Undirected
A01B,B05B,0.6285714285714286,Undirected
A01B,B05C,0.17142857142857143,Undirected
A01B,B05D,0.04285714285714286,Undirected
A01B,B06B,0.04285714285714286,Undirected
A01B,B07B,0.2714285714285714,Undirected
A01B,B07C,0.05714285714285714,Undirected
A01B,B08B,0.2,Undirected
A01B,B09B,0.19999999999999998,Undirected
A01B,B09C,0.14285714285714285,Undirected
A01B,B21B,0.15714285714285714,Undirected
A01B,B21C,0.014285714285714285,Undirected
A01B,B21D,0.1,Undirected
A01B,B21F,0.014285714285714285,Undirected
A01B,B21H,0.07142857142857142,Undirected
A01B,B21J,0.014285714285714285,Undirected
A01B,B21K,0.17142857142857143,Undirected
A01B,B22C,0.02857142857142857,Undirected
A01B,B22D,0.09999999999999999,Undirected
A01B,B22F,0.11428571428571428,Undirected
A01B,B23B,0.21428571428571427,Undirected
A01B,B23C,0.05714285714285714,Undirected
A01B,B23D,0.2142857142857143,Undirected
A01B,B23F,0.014285714285714285,Undirected
A01B,B23K,0.07142857142857142,Undirected
A01B,B23P,0.12857142857142856,Undirected
A01B,B23Q,0.05714285714285714,Undirected
A01B,B24B,0.07142857142857142,Undirected
A01B,B24C,0.04285714285714286,Undirected
A01B,B24D,0.07142857142857142,Undirected
A01B,B25B,0.34285714285714286,Undirected
A01B,B25C,0.21428571428571427,Undirected
A01B,B25D,0.3142857142857143,Undirected
A01B,B25F,0.3571428571428571,Undirected
A01B,B25G,0.6857142857142857,Undirected
A01B,B25H,0.014285714285714285,Undirected
A01B,B25J,0.2857142857142857,Undirected
A01B,B26B,0.6,Undirected
A01B,B26D,0.21428571428571427,Undirected
A01B,B26F,0.04285714285714286,Undirected
A01B,B27B,0.17142857142857143,Undirected
A01B,B27C,0.04285714285714286,Undirected
A01B,B27D,0.014285714285714285,Undirected
A01B,B27F,0.014285714285714285,Undirected
A01B,B27G,0.04285714285714286,Undirected
A01B,B27L,0.1142857142857143,Undirected
A01B,B27M,0.02857142857142857,Undirected
A01B,B27N,0.014285714285714285,Undirected
A01B,B28B,0.05714285714285714,Undirected
A01B,B28C,0.15714285714285714,Undirected
A01B,B28D,0.11428571428571428,Undirected
A01B,B29B,0.014285714285714285,Undirected
A01B,B29C,0.02857142857142857,Undirected
A01B,B29D,0.014285714285714285,Undirected
A01B,B30B,0.2714285714285714,Undirected
A01B,B31B,0.07142857142857142,Undirected
A01B,B31C,0.014285714285714285,Undirected
A01B,B31D,0.02857142857142857,Undirected
A01B,B31F,0.04285714285714286,Undirected
A01B,B32B,0.014285714285714285,Undirected
A01B,B41C,0.014285714285714285,Undirected
A01B,B41F,0.11428571428571428,Undirected
A01B,B41J,0.014285714285714285,Undirected
A01B,B42D,0.014285714285714285,Undirected
A01B,B42F,0.014285714285714285,Undirected
A01B,B43K,0.02857142857142857,Undirected
A01B,B43L,0.02857142857142857,Undirected
A01B,B44C,0.02857142857142857,Undirected
A01B,B44D,0.02857142857142857,Undirected
A01B,B60B,0.3857142857142857,Undirected
A01B,B60C,0.11428571428571428,Undirected
A01B,B60D,0.9142857142857143,Undirected
A01B,B60F,0.11428571428571428,Undirected
A01B,B60G,0.45714285714285713,Undirected
A01B,B60J,0.02857142857142857,Undirected
A01B,B60K,0.7,Undirected
A01B,B60L,0.12857142857142856,Undirected
A01B,B60N,0.02857142857142857,Undirected
A01B,B60P,0.6142857142857143,Undirected
A01B,B60Q,0.09999999999999999,Undirected
A01B,B60R,0.08571428571428572,Undirected
A01B,B60S,0.2571428571428571,Undirected
A01B,B60T,0.3142857142857143,Undirected
A01B,B60W,0.04285714285714286,Undirected
A01B,B61B,0.04285714285714286,Undirected
A01B,B61C,0.14285714285714285,Undirected
A01B,B61D,0.04285714285714286,Undirected
A01B,B61F,0.07142857142857142,Undirected
