,Agent_Home_Class_Name,Agent_Home_Class_Name_medium_related_medium_patents,Agent_Home_Class_Name_unrelated,Name,Name_medium_related_medium_patents,Name_unrelated,Agent_ID,Agent_ID_medium_related_medium_patents,Agent_ID_unrelated,Agent_Number_of_Patents_in_Class,Agent_Number_of_Patents_in_Class_medium_related_medium_patents,Agent_Number_of_Patents_in_Class_unrelated,Agent_Home_Class_IPC4,Agent_Home_Class_IPC4_medium_related_medium_patents,Agent_Home_Class_IPC4_unrelated,Relatedness,Relatedness_medium_related_medium_patents,Relatedness_unrelated,Application_Year,Application_Year_medium_related_medium_patents,Application_Year_unrelated
88662,Medical Preparations,Carbon Reaction Compounds,Weaving,CYRUS JOHN OHNMACHT,MICHAEL L PRUNIER,SEYMOUR PORTNOY,111792.0,148768.0,137135.0,9.0,2.0,0.0,A61K,C08F,D03D,0.9375,0.5,0.0625,1992,,
88663,Medical Preparations,Carbon Reaction Compounds,Rare-Earth Metal Compounds,CYRUS JOHN OHNMACHT,MICHAEL L PRUNIER,YEHUDA KEREN,111792.0,148768.0,170617.0,9.0,2.0,0.0,A61K,C08F,C01F,0.9375,0.5,0.0625,1992,,
88664,Medical Preparations,Carbon Reaction Compounds,Filling Containers,CYRUS JOHN OHNMACHT,MICHAEL L PRUNIER,EUGENE L HOLLOWAY,111792.0,148768.0,206392.0,9.0,2.0,0.0,A61K,C08F,B67C,0.9375,0.5,0.0,1992,,
88665,Medical Preparations,Carbon Reaction Compounds,Analyzing Materials,CYRUS JOHN OHNMACHT,MICHAEL L PRUNIER,JOEL M BLATT,111792.0,148768.0,228844.0,9.0,2.0,0.0,A61K,C08F,G01N,0.9375,0.5,0.0,1992,,
88666,Medical Preparations,Carbon Reaction Compounds,Optics,CYRUS JOHN OHNMACHT,MICHAEL L PRUNIER,YASUSHI MORI,111792.0,148768.0,255025.0,9.0,2.0,0.0,A61K,C08F,G02F,0.9375,0.5,0.1875,1992,,
88667,Medical Preparations,Carbon Reaction Compounds,Traffic Control Systems,CYRUS JOHN OHNMACHT,MICHAEL L PRUNIER,HIROAKI MATSUNO,111792.0,148768.0,267420.0,9.0,2.0,0.0,A61K,C08F,G08G,0.9375,0.5,0.0,1992,,
88668,Medical Preparations,Carbon Reaction Compounds,Enzyme Compounds,CYRUS JOHN OHNMACHT,MICHAEL L PRUNIER,I LAWRENCE GREENFIELD,111792.0,148768.0,269608.0,9.0,2.0,0.0,A61K,C08F,C12N,0.9375,0.5,0.1875,1992,,
88669,Medical Preparations,Carbon Reaction Compounds,Separation,CYRUS JOHN OHNMACHT,MICHAEL L PRUNIER,FREDERICK DANA CAZER,111792.0,148768.0,301091.0,9.0,2.0,0.0,A61K,C08F,B01D,0.9375,0.5,0.0,1992,,
88670,Medical Preparations,Carbon Reaction Compounds,Separation,CYRUS JOHN OHNMACHT,MICHAEL L PRUNIER,BARRY L SCOTT,111792.0,148768.0,301092.0,9.0,2.0,0.0,A61K,C08F,B01D,0.9375,0.5,0.0,1992,,
88671,Medical Preparations,Carbon Reaction Compounds,Analyzing Materials,CYRUS JOHN OHNMACHT,MICHAEL L PRUNIER,ELEFTHERIOS DIAMANDIS,111792.0,148768.0,305063.0,9.0,2.0,0.0,A61K,C08F,G01N,0.9375,0.5,0.0,1992,,
